ing,esp
ADD UP,totalizar
ANSWER BACK,contestar de malos modos
ASK ABOUT,preguntar por (un asunto)
ASK FOR,"pedir, preguntar por"
ASK BACK,invitar a volver
ASK IN,invitar a entrar
ASK UP,invitar a subir
BACK AWAY,retroceder
BACK UP,reforzar
BE AWAY,estar fuera
BE FOR,estar a favor de
BE OFF,"irse, estar apagado"
BE OUT,estar fuera
BE UP,estar levantado
BEND OVER,inclinarse
BLOW DOWN,derrumbarse por el viento
BLOW OUT,apagar (se) (una llama)
BREAK AWAY,soltarse
BREAK IN,"irrumpir, interrumpir"
BREAK UP,terminar el curso o una relación
BRING BACK,devolver
BRING ALONG,traer (consigo)
BRING IN,hacer entrar
BRING UP,"criar, educar"
BURN AWAY,consumirse (el fuego)
BURN OUT,consumirse (el fuego)
BUY FOR,comprar por o para
BUY UP,acaparar
CALL AT,"Hacer una visita, hacer escala"
CALL BACK,Llamar (a alguien) para que regrese
CALL IN,Llamar (a alguien) para que entre
CALL OUT,Gritar
CALL UP,Telefonear
CARRY ALONG,Persuadir
CARRY ON,Continuar
CLEAR AWAY,Dispersar (se)
CLEAR OUT,Marcharse
CLOSE DOWN,Cerrar
COME ABOUT,Suceder
COME ALONG,"Acompañar, venir por (la calle)"
COME AWAY,Desprenderse
COME FOR,Venir por (en busca de)
COME IN,Entrar
COME ON,¡Vamos! (en imperativo)
COME TO,"Ascender (una suma), volver en sí."
COME UP TO,Acercarse a
COUNT ON,Contar con
COUNT UP TO,Contar hasta
CRY OUT,Llorar a gritos
CRY TO,Llamar a gritos
CUT IN,Interrumpir
CUT OUT,"Recortar, omitir"
CUT UP,"Trinchar, triturar"
DIE AWAY,Cesar poco a poco
DIE OUT,Extinguirse
DO WITHOUT,Pasarse sin (carecer de)
DRAW BACK,Retroceder
DRAW IN,"Economizar, encoger (se)"
DRAW ON,"Aproximarse, retirar fondos"
DRAW UP,Para (un vehículo)
DRIVE BACK,Rechazar
DRIVE IN,"Entrar en coche, introducir"
DRIVE OFF,"Alejarse en coche, ahuyentar"
EAT AWAY,Erosionar
EAT UP,Devorar
FALL DOWN,Caerse
FALL OVER,Tropezar
FIGHT ON,Seguir luchando
FILL IN,Rellenar
FIND OUT,Averiguar
FLY ABOUT,Volar de un lado a otro
FLY AWAY,Huir volando
FLY OFF,Desprenderse
GET ABOUT,Ir de acá para allá
GET AT,Dar a entender
GET BACK,"Volver, recuperar"
GET TO,Llegar a
GET OUT (OF),"Salir, apearse"
GET ON,"Subirse, progresar"
GET OVER,"Saltar por encima, recobrarse"
GET UP,Levantarse
GIVE BACK,Devolver
GIVE OUT,"Agotarse, repartir"
GO ABOUT,Ir de un lado para otro
GO AT,Atacar
GO BY,Pasar por
GO IN / INTO,Entrar
GO ON,Continuar
GO OVER,Repasar
GO UP,Subir
GO ACROSS,Atravesar
HANG ABOUT,Vagar
HANG BEHIND,Quedarse atrás
HANG OFF,Colgar (el teléfono)
HOLD BACK,Detener
HOLD OUT,Resistir
HURRY AWAY,Irse rápidamente
HURRY UP,Darse prisa
JUMP ABOUT,Dar saltos
JUMP DOWN,Bajar de un salto
JUMP ON,Subir de un salto
KEEP AWAY,Mantenerse alejado
KEEP DOWN,Controlar
KEEP UP,"Mantenerse de pie, resistir"
KNOCK AT,Llamar (a la puerta)
KNOCK OUT,Dejar fuera de combate
LOOK AFTER,Cuidar
LOOK BEHIND,Mirar atrás
LOOK FOR,Buscar
LOOK IN,Mirar dentro
LOOK OUT,Mirar fuera
LOOK ROUND,Mirar alrededor
MOVE AWAY,Alejarse
MOVE DOWN,Bajar
MOVE OFF,Marcharse
MOVE OUT,Mudarse (de domicilio)
PASS AWAY,Fallecer
PASS IN,Entrar
PAY FOR,Pagar
PAY OFF,"Liquidar (una cuenta), pagar"
POINT AT,Señalar
POINT TO,Señalar
POINT OUT,Destacar
PULL AWAY,Arrancar
PULL OFF,Arrancar
PULL UP,Parar (un vehículo)
PUT BACK,Poner en su sitio
PUT IN,"Meter, instalar"
PUT ON,Ponerse (una prenda)
PUT UP,"Subir (algo), alojarse"
RUN ABOUT,Correr de acá para allá
RUN DOWN,"Pararse (un reloj), enfermar"
RUN OFF,Escapar corriendo
RUN OVER,Atropellar
SEE ABOUT,Indagar
SEE TO,Encargarse de
SEND DOWN,Bajar (algo)
SEND OFF,"Despachar,despedir (trabajadores)"
SEND UP,Subir (algo)
SET DOWN,"Asentar, colocar"
SHUT IN,Encerrar
SIT DOWN,Sentarse
SIT FOR,Presentarse (a un examen)
SPEAK TO,Hablar con
STAND BY,Quedarse cerca
STAND OUT,Destacar
STAY AT,Hospedarse
STAY IN,Quedarse en casa
STEP ACROSS,Atravesar
STEP IN,Entrar
STEP UP,Subir
STOP BY,Quedarse al lado de
STOP UP,"Empastar (una muela), tapar (una botella)"
TAKE DOWN,"Escribir al dictado, bajar (algo)"
TAKE IN,"Engañar, meter"
TAKE OUT,"Sacar, quitar"
TAKE UP,Subir (algo)
TALK OF,Hablar de
TEAR AWAY,Quitar (rasgando)
TEAR UP,Hacer pedazos (rasgando)
THROW BACK,Devolver
THROW IN,Tirar hacia adentro
THROW OUT,Arrojar
TRY ON,Probarse una prenda
TURN BACK,Darse la vuelta
TURN OFF,"Apagar (la luz), cerrar (una llave)"
TURN OUT,Apagar
TURN INTO,Convertirse
WALK ABOUT,Andar de acá para allá
WALK AWAY,Alejarse andando
WALK IN,Entrar
WALK UP,Subir
WORK UNDER,Trabajar a las órdenes de
ADD UP TO,alcanzar un total
ANSWER FOR,responder de
ASK AFTER,preguntar por la salud
ASK UP TO,pedir hasta (un precio)
ASK DOWN,invitar a bajar
ASK OUT,invitar a salir
,
BACK OUT,volver atrás
BE ABOUT,estar por (un lugar)
BE BACK,estar de vuelta
BE IN,estar en casa
BE ON,estar encendido
BE OVER,estar acabado
BEND DOWN,agacharse
BLOW AWAY,llevarse (el viento)
BLOW OFF,dejar salir (el vapor)
BLOW UP,volar (con explosivos)
BREAK DOWN,"derruir, averiarse"
BREAK OFF,romper (se) (relaciones)
BREAK OUT,estallar (una guerra)
BRING ABOUT,acarrear
BRING DOWN,"derribar, rebajar"
BRING OUT,"hacer salir, publicar"
BRUSH OFF,quitar el polvo
BURN DOWN,derrumbarse (por el fuego)
BURN UP,consumirse (por el fuego)
BUY OVER,sobornar
,
CALL AWAY,Seguir llamando
CALL FOR,"Pedir a voces, exigir"
CALL ON,Ir a ver (a alguien)
CALL OVER,"Pasar lista, enumerar"
CALL DOWN,Llamar (a alguien) para que baje
CARRY OFF,Llevarse a la fuerza
CARRY OUT,Llevar a cabo
CLEAR OFF,Marcharse
CLEAR UP,"Aclararse (el tiempo,un misterio)"
CLOSE UP,Acercarse
COME ACROSS,Encontrarse con
COME AT,Embestir
COME DOWN,Bajar
COME FROM,Venir de
COME OFF,Desprenderse
COME OUT,Salir
COME UP,Subir
COUNT IN,Incluir
COUNT UP,Calcular
CRY FOR,Pedir llorando
CRY OVER,Lamentarse
CUT DOWN,"Reducir gastos, talar"
CUT OFF,Separar de un tajo
CUT THROUGH,Acortar por un atajo
,
DIE DOWN,Apaciguarse
DO UP,Abrochar
DRAW AWAY,Alejarse
DRAW DOWN,Bajar
DRAW OFF,Apartarse
DRAW OUT,"Sacar, redactar, alargarse (el día)"
DRIVE AWAY,"Ahuyentar, alejarse en coche"
DRIVE BY,Pasar en coche
DRIVE OUT,"Salir en coche, expulsar"
EAT INTO,Roer
FALL OFF,"Disminuir, desprenderse"
FIGHT OFF,Ahuyentar
FIGHT UP,Luchar valerosamente
FILL UP,"Rellenar, llenar"
FIX UP,Arreglar (un asunto)
FLY AT,Atacar
FLY DOWN,Descender
GET ALONG,Hacer progreso
GET AWAY,Escaparse
GET DOWN,Descender
GET IN / INTO,"Entrar, meterse"
GET OFF,"Apearse, bajarse"
GET OUT,"Producir, salir"
GET THROUGH,Abrirse camino
GIVE AWAY,"Repartir, denunciar"
GIVE OFF,"Despedir (humo, olor)"
GIVE UP,"Entregar, rendirse"
GO ALONG,Ir a lo largo de
GO AWAY,Marcharse
GO DOWN,Bajar
GO OFF,"Explotar, marcharse"
GO OUT,"Salir, pasarse de moda, apagarse"
GO THROUGH,"Penetrar, sufrir"
GO UP TO,Acercarse a
GO WITHOUT,Pasarse sin
HANG BACK,Retraerse
HANG FROM,Colgar de
HANG UP,Colgar (un cuadro)
HOLD ON,Continuar
HURRY ALONG,Darse prisa
HURRY OFF,Irse rápidamente
,
JUMP AT,Atacar
JUMP IN,Entrar de un salto
JUMP OVER,Saltar por encima de
KEEP BACK,Mantenerse separado
KEEP OFF,Abstenerse
KNOCK ABOUT,Golpear acá y allá
KNOCK DOWN,Derribar
,
LOOK AT,Mirar
LOOK DOWN,Mirar abajo
LOOK FORWARD TO,Anhelar
LOOK LIKE,Parecer
LOOK OVER,Mirar por encima de
LOOK UP,"Mirar arriba, buscar"
MOVE ALONG,"Pasar, no detenerse"
MOVE IN,Mudarse (de domicilio)
MOVE ON,"No detenerse, pasar a (otro asunto)"
MOVE UP,Moverse (para dejar sitio)
PASS BY,Pasar por (un sitio)
PASS ON,Pasar (de mano en mano)
PAY IN,Ingresar (dinero)
PAY UP,Pagar (una deuda)
POINT AWAY,Señalar a lo lejos
POINT DOWN,Señalar abajo
POINT UP,Señalar arriba
PULL DOWN,Derribar
PULL OUT,Sacar
PUT AWAY,Poner a un lado
PUT DOWN,"Anotar, bajar (algo)"
PUT OFF,Posponer
PUT OUT,"Apagar, sacar"
PUT UP WITH,Soportar
RUN ACROSS,"Encontrarse con, atravesar corriendo"
RUN IN,Entrar corriendo
RUN OUT,Salir corriendo
RUN UP,Subir corriendo
SEE OFF,Despedir (a alguien)
SEND ALONG,Despachar
SEND FOR,Enviar por
SEND ROUND,Circular
SET ABOUT,Ponerse (a trabajar)
SET OFF,Partir (para un viaje)
SHUT UP,"Callarse, cerrar (una tienda)"
SIT UP,"Incorporarse, sentarse erguido"
SPEAK FOR,Hablar a favor de
SPEAK UP,Hablar en alta voz
STAND OFF,Mantenerse alejado
STAND UP,Ponerse de pie
STAY BY,Permanecer al lado de
STAY OUT,Quedarse fuera de casa
STEP DOWN,Bajar
STEP OUT,Salir
STEP UP TO,Acercarse a (alguien)
STOP IN,Quedarse en casa
,
TAKE FOR,Tomar por (equivocarse)
TAKE OFF,"Quitarse (una prenda), despegar"
TAKE TO,Llevar a
TALK ABOUT,Hablar acerca de
TALK TO,Hablar con
TEAR OFF,Separar (rasgando)
THROW AWAY,Tirar (algo inservible)
THROW DOWN,Tirar hacia abajo
THROW OFF,Echar fuera
THROW UP,Tirar hacia arriba
TURN AWAY,Mirar a otro lado
TURN DOWN,Poner boca abajo
TURN ON,"Encender (la luz), abrir (una llave)"
TURN OVER,"Volcar, poner boca abajo"
TURN UP,Llegar
WALK ALONG,Andar por
WALK DOWN,Bajar
WALK OFF,Marcharse
WORK OUT,Calcular
WRITE DOWN,Anotar
